"updater" "reg" "mc"
"1" "adam(0.01)" 0.01 0.03155
"2" "adam(0.001)" 0.01 0.03015
"3" "adam(1.0E-4)" 0.01 0.02995
"4" "adam(0.01)" 0.001 0.02775
"5" "adam(0.001)" 0.001 0.027
"6" "adam(1.0E-4)" 0.001 0.0274
"7" "adam(0.01)" 1e-04 0.03315
"8" "adam(0.001)" 1e-04 0.03595
"9" "adam(1.0E-4)" 1e-04 0.02875
"10" "adadelta(0.001)" 0.01 0.0293
"11" "adadelta(0.001)" 0.001 0.02745
"12" "adadelta(0.001)" 1e-04 0.0339
"13" "momentum(0.01)" 0.01 0.0304
"14" "momentum(0.001)" 0.01 0.0308
"15" "momentum(1.0E-4)" 0.01 0.0357
"16" "momentum(0.01)" 0.001 0.0268
"17" "momentum(0.001)" 0.001 0.0301
"18" "momentum(1.0E-4)" 0.001 0.03545
"19" "momentum(0.01)" 1e-04 0.0267
"20" "momentum(0.001)" 1e-04 0.02995
"21" "momentum(1.0E-4)" 1e-04 0.03535
"22" "rmsprop(0.01)" 0.01 0.0307
"23" "rmsprop(0.001)" 0.01 0.02985
"24" "rmsprop(1.0E-4)" 0.01 0.03035
"25" "rmsprop(0.01)" 0.001 0.03085
"26" "rmsprop(0.001)" 0.001 0.02725
"27" "rmsprop(1.0E-4)" 0.001 0.0273
"28" "rmsprop(0.01)" 1e-04 0.03275
"29" "rmsprop(0.001)" 1e-04 0.03365
"30" "rmsprop(1.0E-4)" 1e-04 0.02715
