"updater" "reg" "rmsle"
"1" "adam(0.01)" 0.01 0.330114604356033
"2" "adam(0.001)" 0.01 0.326007558719005
"3" "adam(1.0E-4)" 0.01 0.578789241342304
"4" "adam(0.01)" 0.001 0.328730175418691
"5" "adam(0.001)" 0.001 0.322455263773405
"6" "adam(1.0E-4)" 0.001 0.581037488517823
"7" "adam(0.01)" 1e-04 0.33011660673283
"8" "adam(0.001)" 1e-04 0.325168068151503
"9" "adam(1.0E-4)" 1e-04 0.579575594060141
"10" "adadelta(0.001)" 0.01 0.329037249702393
"11" "adadelta(0.001)" 0.001 0.329317157558183
"12" "adadelta(0.001)" 1e-04 0.329621404704215
"13" "momentum(0.01)" 0.01 0.330162467470065
"14" "momentum(0.001)" 0.01 0.330171438897434
"15" "momentum(1.0E-4)" 0.01 0.33015067561143
"16" "momentum(0.01)" 0.001 0.33017934215864
"17" "momentum(0.001)" 0.001 0.330150613005955
"18" "momentum(1.0E-4)" 0.001 0.330181149378585
"19" "momentum(0.01)" 1e-04 0.330499926513613
"20" "momentum(0.001)" 1e-04 0.330150021284053
"21" "momentum(1.0E-4)" 1e-04 0.330219879466669
"22" "rmsprop(0.01)" 0.01 0.327907026926608
"23" "rmsprop(0.001)" 0.01 0.33006544972787
"24" "rmsprop(1.0E-4)" 0.01 0.634950494546026
"25" "rmsprop(0.01)" 0.001 0.328876865772169
"26" "rmsprop(0.001)" 0.001 0.330183474493454
"27" "rmsprop(1.0E-4)" 0.001 0.634905129768197
"28" "rmsprop(0.01)" 1e-04 0.331675463241752
"29" "rmsprop(0.001)" 1e-04 0.330136082366068
"30" "rmsprop(1.0E-4)" 1e-04 0.634950121132288
